sequencerun_pk,run_sra_accession,run_ncbi_trace_link,sample_name,run_ncbi_identifier,run_avg_spot_length,run_bases,run_bytes,run_megabases,run_megabytes,run_num_replicons,run_releasedate,run_releasedate_curated
MDDBSRR000403,SRR1502378,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502378,G2733,pooled forest soil sample-G2733,472,2154150,4752699,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000404,SRR1502380,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502380,G2735,pooled forest soil sample-G2735,443,2101475,4807217,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000405,SRR1502381,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502381,G2736,pooled forest soil sample-G2736,455,1863296,4187834,1,3,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000406,SRR1502387,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502387,G2742,pooled forest soil sample-G2742,483,2671555,5865425,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000407,SRR1502379,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502379,G2734,pooled forest soil sample-G2734,481,2482363,5513094,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000408,SRR1502362,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502362,G2663,pooled forest soil sample-G2663,442,2077569,4732952,2,4,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000409,SRR1502363,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502363,G2664,pooled forest soil sample-G2664,461,2669902,5943056,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000410,SRR1502364,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502364,G2666,pooled forest soil sample-G2666,479,2798811,6126892,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000411,SRR1502365,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502365,G2667,pooled forest soil sample-G2667,475,2557669,5613865,2,5,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000412,SRR1502366,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502366,G2669,pooled forest soil sample-G2669,485,3853612,8308276,3,7,4,2014-07-09T00:00:00Z,2014-07-09
MDDBSRR000413,SRR1502367,https://trace.ncbi.nlm.nih.gov/Traces/sra/?run=SRR1502367,G2674,pooled forest soil sample-G2674,470,2800019,6207495,2,5,4,2014-07-09T00:00:00Z,2014-07-09
